RegionName,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31
10001,1658.0,1676.0,1685.0,1687.0,1677.0,1663.0,1650.0,1642.0,1638.0,1640.0,1650.0,1661.0,1670.0,1673.0,1673.0,1672.0,1674.0,1676.0,1686.0,1695.0,1706.0,1719.0,1732.0,1742.0,1754.0,1760.0,1768.0,1779.0,1790.0,1799.0,1809.0,1814.0,1830.0,1851.0,1879.0,1903.0,1930.0,1945.0,1957.0,1971.0,1983.0,1989.0,2000.0,2011.0,2016.0,2016.0,2018.0,2045.0,2064.0,2076.0,2086.0,2088.0,2093.0,2098.0,2111.0,2126.0,2146.0,2161.0,2192.0,2218.0,2243.0,2263.0,2273.0,2278.0,2280.0,2287.0,2291.0,2290.0,2289.0,2297.0,2309.0,2321.0,2331.0,2342.0,2342.0,2343.0,2344.0,2337.0,2328.0,2313.0,2306.0,2306.0,2314.0,2322.0,2326.0,2320.0,2312.0,2307.0,2301.0,2293.0,2288.0,2283.0,2285.0,2288.0,2289.0,2293.0,2298.0,2302.0,2306.0,2310.0,2321.0,2324.0,2322.0,2320.0,2321.0,2325.0,2333.0,2342.0,2349.0,2374.0,2389.0,2395.0,2390.0
90210,4497.0,4502.0,4505.0,4524.0,4562.0,4580.0,4571.0,4565.0,4554.0,4560.0,4588.0,4601.0,4626.0,4624.0,4613.0,4603.0,4585.0,4588.0,4605.0,4635.0,4697.0,4671.0,4684.0,4699.0,4663.0,4588.0,4524.0,4519.0,4440.0,4372.0,4313.0,4379.0,4480.0,4504.0,4573.0,4655.0,4707.0,4763.0,4719.0,4687.0,4670.0,4661.0,4603.0,4607.0,4595.0,4627.0,4670.0,4766.0,4895.0,4911.0,4898.0,4975.0,5016.0,5006.0,5020.0,5073.0,5103.0,5135.0,5164.0,5134.0,5163.0,5186.0,5177.0,5210.0,5279.0,5314.0,5363.0,5340.0,5304.0,5330.0,5325.0,5290.0,5274.0,5315.0,5363.0,5337.0,5312.0,5274.0,5266.0,5253.0,5244.0,5207.0,5152.0,5141.0,5050.0,4996.0,5047.0,5075.0,4996.0,5042.0,5024.0,4912.0,4886.0,4914.0,4862.0,4822.0,4825.0,4819.0,4793.0,4827.0,4893.0,4957.0,4989.0,5002.0,5005.0,5020.0,5043.0,5063.0,5071.0,5048.0,5032.0,5013.0,4909.0
60601,1444.0,1462.0,1469.0,1471.0,1456.0,1441.0,1433.0,1426.0,1422.0,1422.0,1429.0,1434.0,1438.0,1436.0,1434.0,1430.0,1419.0,1418.0,1423.0,1423.0,1427.0,1426.0,1435.0,1445.0,1456.0,1464.0,1459.0,1451.0,1449.0,1446.0,1451.0,1470.0,1487.0,1496.0,1506.0,1520.0,1528.0,1529.0,1527.0,1526.0,1533.0,1536.0,1533.0,1536.0,1550.0,1554.0,1563.0,1566.0,1592.0,1607.0,1605.0,1596.0,1594.0,1593.0,1588.0,1579.0,1583.0,1590.0,1599.0,1611.0,1613.0,1611.0,1603.0,1599.0,1591.0,1593.0,1592.0,1598.0,1607.0,1619.0,1629.0,1637.0,1643.0,1632.0,1624.0,1609.0,1596.0,1587.0,1583.0,1591.0,1603.0,1612.0,1626.0,1635.0,1632.0,1629.0,1620.0,1607.0,1598.0,1599.0,1606.0,1618.0,1634.0,1653.0,1662.0,1670.0,1675.0,1678.0,1678.0,1676.0,1654.0,1648.0,1649.0,1657.0,1670.0,1682.0,1696.0,1709.0,1714.0,1697.0,1693.0,1694.0,1657.0
98101,1452.0,,1518.0,1533.0,1534.0,1527.0,1518.0,1513.0,1511.0,1513.0,1523.0,1534.0,1543.0,1548.0,1552.0,1552.0,1551.0,1553.0,1554.0,1559.0,1566.0,1578.0,1595.0,1608.0,1619.0,1627.0,1633.0,1635.0,1635.0,1635.0,1641.0,1651.0,1664.0,1682.0,1698.0,1719.0,1742.0,1766.0,1784.0,1803.0,1816.0,1823.0,1827.0,1836.0,1850.0,1862.0,1892.0,1925.0,1957.0,1975.0,1985.0,1989.0,1991.0,1983.0,1979.0,1981.0,1997.0,2022.0,2063.0,2084.0,2117.0,2140.0,2143.0,2140.0,2135.0,2133.0,2129.0,2132.0,2158.0,2189.0,2212.0,2229.0,2239.0,2235.0,2236.0,2230.0,2218.0,2213.0,2211.0,2220.0,2238.0,2255.0,2273.0,2288.0,2286.0,2271.0,2252.0,2233.0,2213.0,2204.0,2202.0,2197.0,2208.0,2227.0,2243.0,2254.0,2257.0,2249.0,2237.0,2230.0,2225.0,2221.0,2223.0,2227.0,2238.0,2255.0,2274.0,2294.0,2304.0,2289.0,2263.0,2252.0,2262.0
77001,1144.0,1127.0,1116.0,1102.0,1097.0,1096.0,1099.0,1102.0,1105.0,1108.0,1111.0,1108.0,1108.0,1106.0,1101.0,1097.0,1096.0,1092.0,1092.0,1096.0,1105.0,1115.0,1123.0,1136.0,1146.0,1143.0,1138.0,1140.0,1153.0,1163.0,1170.0,1179.0,1199.0,1219.0,1232.0,1243.0,1255.0,1268.0,1280.0,1288.0,1292.0,1295.0,1287.0,1288.0,1294.0,1303.0,1321.0,1338.0,1350.0,1354.0,1363.0,1365.0,1366.0,1365.0,1368.0,1378.0,1388.0,1397.0,1404.0,1412.0,1415.0,1416.0,1415.0,1414.0,1413.0,1411.0,1410.0,1407.0,1407.0,1405.0,1408.0,1407.0,1408.0,1402.0,1395.0,1386.0,1378.0,1370.0,1363.0,1361.0,1361.0,1366.0,1365.0,1365.0,1363.0,1365.0,1366.0,1365.0,1364.0,1367.0,1369.0,1370.0,1374.0,1374.0,1375.0,1381.0,1383.0,1386.0,1390.0,1389.0,1383.0,1375.0,1368.0,1363.0,1361.0,1362.0,1364.0,1367.0,1369.0,1377.0,1380.0,1397.0,1398.0
