RegionName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31
10001,196258.0,195693.0,195383.0,194836.0,194652.0,194520.0,194447.0,194313.0,194271.0,194341.0,194496.0,194755.0,195144.0,196135.0,197185.0,198143.0,198601.0,199185.0,199877.0,200789.0,201707.0,202620.0,203785.0,204995.0,206282.0,206895.0,207400.0,207784.0,208585.0,209417.0,210201.0,211248.0,212434.0,213887.0,215089.0,216323.0,217391.0,218756.0,220205.0,222080.0,224080.0,226232.0,228726.0,230969.0,233236.0,235079.0,236861.0,238679.0,240658.0,243340.0,246394.0,249453.0,252310.0,254992.0,257707.0,260099.0,262610.0,265366.0,268604.0,271482.0,274223.0,276822.0,280316.0,283774.0,286867.0,289089.0,291184.0,293434.0,295478.0,297651.0,300207.0,303246.0,306424.0,308386.0,308036.0,307297.0,307306.0,309195.0,311424.0,314450.0,317709.0,320754.0,322838.0,324949.0,327077.0,330376.0,334863.0,340032.0,344750.0,349415.0,352959.0,356217.0,358366.0,360850.0,363593.0,366451.0,370223.0,373835.0,377572.0,380686.0,384349.0,388161.0,392534.0,396397.0,401544.0,407148.0,414115.0,419912.0,424811.0,429318.0,435001.0,441816.0,447932.0,452846.0,458983.0,465431.0,472715.0,480101.0,487168.0,494636.0,500592.0,506267.0,508485.0,510606.0,513148.0,518144.0,521337.0,524195.0,524801.0,522607.0,518041.0,515028.0,514159.0,514639.0,517821.0,519488.0,521744.0,519368.0,518396.0,517083.0,516381.0,517250.0,518203.0,518893.0,518701.0,517635.0,514982.0,512110.0,507533.0,504538.0,500645.0,497449.0,493841.0,490439.0,487081.0,482878.0,478007.0,472622.0,468443.0,464624.0,461459.0,457839.0,454026.0,450417.0,447440.0,445084.0,444439.0,444184.0,444369.0,444560.0,443163.0,442489.0,442178.0,444115.0,446442.0,447742.0,449016.0,449432.0,448737.0,447040.0,446134.0,445929.0,447824.0,448052.0,448239.0,446408.0,445226.0,444560.0,443797.0,443015.0,442036.0,442103.0,441857.0,441632.0,440245.0,440162.0,440047.0,441045.0,441406.0,441744.0,442220.0,443228.0,445255.0,447263.0,448888.0,449893.0,451240.0,453027.0,455529.0,458066.0,460645.0,463454.0,466384.0,469661.0,472418.0,474987.0,478282.0,482544.0,487013.0,490452.0,492836.0,494425.0,496559.0,499196.0,502161.0,504446.0,506412.0,508734.0,511055.0,513452.0,515794.0,518839.0,522100.0,526325.0,529892.0,533293.0,536121.0,539215.0,542817.0,546171.0,548966.0,551506.0,553832.0,557083.0,560110.0,563034.0,565721.0,568673.0,571806.0,574748.0,577918.0,581449.0,585604.0,588436.0,591372.0,593522.0,597010.0,600522.0,605052.0,608956.0,612954.0,617462.0,621093.0,623901.0,626036.0,629857.0,633923.0,638221.0,641450.0,644658.0,646962.0,649745.0,652793.0,655131.0,657389.0,658632.0,659100.0,658771.0,659007.0,659422.0,659843.0,659421.0,659007.0,658239.0,656925.0,655613.0,654394.0,653930.0,653901.0,653565.0,652307.0
90210,401803.0,402130.0,402282.0,402832.0,403476.0,404089.0,404628.0,404285.0,404142.0,404365.0,405559.0,407161.0,408965.0,410214.0,412067.0,413517.0,415607.0,418022.0,421479.0,426969.0,431678.0,436263.0,439418.0,443478.0,448144.0,454301.0,459798.0,465313.0,470390.0,475334.0,479165.0,482919.0,488656.0,494389.0,500466.0,504567.0,507292.0,509244.0,511255.0,515682.0,519736.0,525008.0,530727.0,534568.0,537701.0,540896.0,545408.0,549766.0,555439.0,561027.0,567706.0,572100.0,577511.0,582416.0,587101.0,592895.0,597594.0,601702.0,605719.0,610045.0,614720.0,618957.0,623297.0,628338.0,632183.0,636542.0,640363.0,644766.0,649462.0,655221.0,660287.0,666095.0,671126.0,677503.0,683615.0,690974.0,698250.0,705882.0,714359.0,722396.0,730443.0,739883.0,750711.0,761747.0,770888.0,779145.0,788515.0,795972.0,804433.0,810906.0,821435.0,832672.0,845336.0,853754.0,865081.0,876045.0,892285.0,906350.0,920553.0,936681.0,956189.0,975445.0,989181.0,1000867.0,1015307.0,1030959.0,1042893.0,1054594.0,1063579.0,1079125.0,1092293.0,1107180.0,1115915.0,1129595.0,1147199.0,1167676.0,1187021.0,1207083.0,1220685.0,1230955.0,1240510.0,1248391.0,1259610.0,1264970.0,1276480.0,1281475.0,1283962.0,1285321.0,1280421.0,1280293.0,1282534.0,1291876.0,1294518.0,1292107.0,1285686.0,1283713.0,1278973.0,1271601.0,1261299.0,1248827.0,1239183.0,1228678.0,1220389.0,1211276.0,1204575.0,1195895.0,1183167.0,1166254.0,1146783.0,1136476.0,1127469.0,1120102.0,1114934.0,1102611.0,1089639.0,1064166.0,1050111.0,1044033.0,1045146.0,1045083.0,1043678.0,1045693.0,1052272.0,1062826.0,1071330.0,1082132.0,1095822.0,1116228.0,1127965.0,1131265.0,1135980.0,1144097.0,1163711.0,1164709.0,1163176.0,1154466.0,1147223.0,1141530.0,1132804.0,1134061.0,1136047.0,1141347.0,1141669.0,1142717.0,1133648.0,1136046.0,1136556.0,1148894.0,1158598.0,1169066.0,1175290.0,1175434.0,1177235.0,1180142.0,1186647.0,1193882.0,1205350.0,1217152.0,1230297.0,1226391.0,1226861.0,1230457.0,1248500.0,1271370.0,1290348.0,1318661.0,1344137.0,1377195.0,1405281.0,1437429.0,1467631.0,1506524.0,1539462.0,1567049.0,1590917.0,1608562.0,1631381.0,1637449.0,1646975.0,1649849.0,1660136.0,1666753.0,1676318.0,1688847.0,1704457.0,1723516.0,1738120.0,1755719.0,1778794.0,1808625.0,1840147.0,1859922.0,1882875.0,1903377.0,1929152.0,1952980.0,1979950.0,2010878.0,2043423.0,2076439.0,2097110.0,2121774.0,2145827.0,2187561.0,2220394.0,2253670.0,2279644.0,2309637.0,2344326.0,2375374.0,2397653.0,2420389.0,2453150.0,2485515.0,2511195.0,2529729.0,2558659.0,2589482.0,2620356.0,2647755.0,2676879.0,2706281.0,2755468.0,2801111.0,2849213.0,2890109.0,2938311.0,2975048.0,3000075.0,3020714.0,3050472.0,3078673.0,3101361.0,3121441.0,3142289.0,3160952.0,3171531.0,3166784.0,3164530.0,3176300.0,3201685.0,3227240.0,3248712.0,3274487.0,3304979.0,3341144.0,3370893.0,3408012.0,3452298.0,3518017.0,3584488.0
60601,130920.0,130772.0,130511.0,130495.0,130172.0,130291.0,130143.0,130523.0,131041.0,131790.0,132635.0,133214.0,133819.0,134352.0,135028.0,135143.0,135857.0,135900.0,136201.0,135303.0,133972.0,132069.0,130353.0,129519.0,129162.0,129105.0,129315.0,129673.0,130012.0,130386.0,131026.0,132648.0,135057.0,138198.0,140942.0,142992.0,144137.0,145133.0,145940.0,146894.0,147594.0,148865.0,150308.0,151491.0,152141.0,152571.0,153417.0,154447.0,156122.0,157825.0,159606.0,161190.0,162862.0,164421.0,165854.0,167269.0,168692.0,170131.0,171804.0,173544.0,175101.0,176385.0,177799.0,179384.0,181099.0,182681.0,184067.0,185527.0,187032.0,188688.0,190171.0,191380.0,192594.0,193914.0,195512.0,196720.0,198034.0,199099.0,200674.0,202216.0,203990.0,205464.0,206650.0,208058.0,209466.0,211238.0,212702.0,214393.0,215536.0,216849.0,217985.0,219511.0,221055.0,222839.0,224560.0,226272.0,228154.0,229842.0,231476.0,233310.0,235563.0,238049.0,240318.0,242421.0,244216.0,246214.0,248445.0,250773.0,252832.0,254843.0,256932.0,259156.0,261592.0,264147.0,266696.0,269103.0,271885.0,274386.0,276819.0,279023.0,280994.0,283177.0,284850.0,286799.0,287944.0,288968.0,289628.0,290446.0,290953.0,291373.0,291610.0,292249.0,292975.0,294169.0,293600.0,293299.0,291449.0,291176.0,289521.0,289233.0,287909.0,287719.0,286857.0,285754.0,285224.0,281610.0,281903.0,277382.0,277406.0,272281.0,271383.0,266727.0,264942.0,260343.0,257346.0,251973.0,246766.0,242815.0,238308.0,235998.0,231980.0,229971.0,227711.0,226294.0,223314.0,221342.0,218918.0,219254.0,217978.0,218203.0,215311.0,215345.0,212877.0,213038.0,209000.0,207128.0,204227.0,203049.0,200478.0,198182.0,196048.0,194139.0,192634.0,189737.0,188372.0,185790.0,185927.0,184640.0,184325.0,181420.0,180168.0,177500.0,176378.0,173644.0,173927.0,173621.0,173899.0,172653.0,171086.0,170076.0,169495.0,170387.0,171668.0,173085.0,174891.0,176633.0,177449.0,178719.0,179731.0,182260.0,184800.0,187738.0,189732.0,192368.0,193388.0,195079.0,195521.0,197250.0,198094.0,198349.0,199134.0,200491.0,201756.0,202221.0,203389.0,204138.0,205256.0,205868.0,206442.0,206536.0,207091.0,208760.0,210296.0,210940.0,211523.0,212285.0,212898.0,213122.0,213545.0,214529.0,215731.0,217645.0,219082.0,220163.0,220675.0,221501.0,222768.0,223935.0,224813.0,226072.0,227726.0,229088.0,230413.0,231394.0,233297.0,234662.0,235723.0,236150.0,236594.0,237534.0,238790.0,239629.0,240173.0,241192.0,242900.0,244113.0,244037.0,243978.0,244407.0,245367.0,245844.0,246209.0,246842.0,247568.0,248331.0,248653.0,248178.0,247789.0,247720.0,248089.0,248302.0,248372.0,248646.0,248725.0,248483.0,248278.0,248090.0,248029.0,248220.0,248599.0,249152.0
98101,179931.0,180089.0,180202.0,180361.0,180510.0,181233.0,182065.0,183035.0,183594.0,184394.0,185263.0,186327.0,187564.0,188906.0,190445.0,192211.0,194272.0,195524.0,196862.0,197931.0,199557.0,200964.0,202711.0,204710.0,207112.0,209427.0,211756.0,213809.0,215908.0,217972.0,220411.0,223320.0,226862.0,230073.0,232776.0,235135.0,236655.0,238288.0,239698.0,241831.0,243697.0,246939.0,249043.0,251446.0,253379.0,256798.0,260438.0,263294.0,265952.0,268639.0,271565.0,274618.0,277919.0,280344.0,283316.0,285317.0,287395.0,288496.0,289890.0,291760.0,294326.0,296667.0,298570.0,299571.0,300182.0,301046.0,302057.0,303382.0,304407.0,305575.0,306518.0,308140.0,308610.0,309608.0,310396.0,312159.0,313456.0,314395.0,315318.0,316504.0,317795.0,319203.0,320975.0,321835.0,323540.0,324594.0,326707.0,327805.0,329499.0,330737.0,332075.0,333694.0,335837.0,338264.0,340127.0,342604.0,345428.0,348934.0,351240.0,354022.0,357376.0,361727.0,365490.0,368354.0,371539.0,374630.0,378372.0,382511.0,387387.0,391025.0,395746.0,400257.0,405237.0,410310.0,416411.0,423728.0,429980.0,435708.0,441663.0,447536.0,451876.0,457530.0,462023.0,467361.0,471675.0,476153.0,480300.0,482894.0,485816.0,489915.0,493203.0,495160.0,495829.0,497330.0,500732.0,506012.0,510213.0,512307.0,512003.0,514113.0,515271.0,514307.0,510954.0,510210.0,510127.0,508245.0,503585.0,496960.0,490550.0,485192.0,481274.0,474885.0,468459.0,462494.0,458732.0,451167.0,447343.0,443133.0,441896.0,435095.0,429646.0,424632.0,422428.0,421622.0,421306.0,422188.0,422709.0,424950.0,422369.0,420144.0,416093.0,417787.0,419765.0,420071.0,417705.0,413437.0,410364.0,405887.0,401770.0,398293.0,396476.0,396316.0,394405.0,391964.0,385820.0,382230.0,378876.0,378187.0,376589.0,375505.0,374791.0,373514.0,373045.0,370234.0,371104.0,372581.0,378992.0,384285.0,389660.0,393945.0,398130.0,402943.0,407907.0,413057.0,417041.0,423676.0,429524.0,435861.0,439296.0,441635.0,445535.0,449150.0,454035.0,457452.0,459878.0,462468.0,466265.0,469441.0,470944.0,471027.0,471847.0,475980.0,477981.0,479714.0,480797.0,484312.0,488697.0,493233.0,499092.0,503043.0,507940.0,511889.0,517841.0,521850.0,527601.0,536143.0,544374.0,551673.0,558354.0,564431.0,568086.0,574321.0,581802.0,591273.0,597744.0,604512.0,611129.0,615933.0,621025.0,625238.0,632361.0,640716.0,649414.0,655100.0,658993.0,665516.0,676218.0,688501.0,700365.0,709638.0,717468.0,727275.0,733897.0,741851.0,749791.0,762886.0,775126.0,783484.0,786816.0,787093.0,783698.0,781189.0,781140.0,780816.0,777465.0,770590.0,763997.0,757053.0,751596.0,746459.0,743558.0,741414.0,742065.0,743707.0,744207.0,744257.0,747509.0,752731.0,758290.0,762931.0,767906.0
77001,93518.0,93633.0,93636.0,93811.0,93966.0,94079.0,94126.0,94220.0,94436.0,94701.0,95017.0,95344.0,95284.0,95039.0,94827.0,94820.0,94841.0,94967.0,95173.0,95360.0,95427.0,95474.0,95613.0,95755.0,96390.0,97053.0,97762.0,98041.0,98338.0,98557.0,98790.0,98959.0,99146.0,99333.0,99277.0,99209.0,99261.0,99812.0,100627.0,101439.0,102151.0,102770.0,103385.0,103992.0,104449.0,104847.0,105267.0,105749.0,106168.0,106308.0,106252.0,106293.0,106310.0,106494.0,106681.0,107047.0,107434.0,107704.0,108209.0,108701.0,108952.0,108987.0,108663.0,108544.0,108565.0,108733.0,108874.0,108757.0,108868.0,109168.0,109429.0,109634.0,109806.0,110115.0,110643.0,111262.0,111811.0,112313.0,112767.0,113375.0,113867.0,114226.0,114543.0,114778.0,115149.0,115266.0,115318.0,115341.0,115420.0,115761.0,115932.0,116312.0,116483.0,116815.0,117059.0,117421.0,117875.0,118836.0,120304.0,121433.0,122578.0,122903.0,123779.0,124290.0,125152.0,125864.0,126519.0,127309.0,127978.0,128631.0,128817.0,129015.0,128828.0,129033.0,128962.0,128998.0,128821.0,128615.0,128739.0,128687.0,128913.0,128924.0,129169.0,129307.0,129793.0,130181.0,130661.0,131035.0,131564.0,132139.0,132511.0,132885.0,133166.0,133227.0,133101.0,133172.0,133427.0,133835.0,133910.0,134231.0,134507.0,134768.0,134970.0,135142.0,134871.0,134335.0,133706.0,133241.0,132514.0,131732.0,131156.0,130609.0,129984.0,129462.0,128653.0,127773.0,127114.0,127111.0,127112.0,126952.0,126822.0,127002.0,127397.0,127648.0,127648.0,127350.0,127385.0,127529.0,127564.0,127372.0,127497.0,127711.0,127788.0,127292.0,126217.0,124908.0,123995.0,123437.0,123305.0,123019.0,122593.0,121887.0,120769.0,119869.0,119103.0,118727.0,118551.0,118598.0,118588.0,118608.0,117931.0,117526.0,117342.0,117597.0,117900.0,117867.0,117985.0,118138.0,118605.0,119024.0,119368.0,119504.0,120063.0,120641.0,121448.0,122251.0,123619.0,125255.0,126787.0,127930.0,129056.0,130244.0,131574.0,133022.0,134485.0,135808.0,136983.0,138156.0,138913.0,139729.0,140554.0,141954.0,143361.0,145041.0,146664.0,148093.0,149331.0,150588.0,151804.0,152863.0,154172.0,155428.0,156596.0,157371.0,157849.0,158346.0,158785.0,159577.0,160023.0,160517.0,161392.0,162316.0,162904.0,162970.0,163390.0,164033.0,165015.0,165519.0,166004.0,166277.0,167231.0,168244.0,168683.0,169114.0,169666.0,170584.0,171143.0,171600.0,171850.0,172077.0,172432.0,172879.0,173417.0,173881.0,174512.0,175029.0,175622.0,176576.0,177582.0,178431.0,179143.0,180035.0,181123.0,181971.0,182803.0,183599.0,184924.0,185949.0,186410.0,186294.0,186369.0,186844.0,187464.0,188070.0,188496.0,189125.0,189612.0,190179.0,190395.0,190938.0,191907.0
